q,r0_gap_g,r0_count,r0_mean_omega,neighbor_gaps,neighbor_mean_omega_unweighted,neighbor_mean_omega_countweighted,excess_vs_neighbor_unweighted,excess_vs_neighbor_countweighted
5,200,794.0,7.623736828153897,"198,202",7.570604403149191,7.5391798711576286,0.05313242500470583,0.08455695699626808
5,210,1210.0,8.008243016760149,"208,212",8.00307190204149,7.9605800088457865,0.005171114718658387,0.04766300791436251
5,220,333.0,8.377074328730526,"218,222",8.407792084332444,8.42570854425272,-0.03071775560191803,-0.04863421552219371
5,230,203.0,8.824310261660083,"228,232",8.768205029944959,8.737850826591984,0.05610523171512405,0.0864594350680985
5,240,215.0,9.19986694525225,"238,242",9.190026439275268,9.162947130759902,0.009840505976981717,0.03691981449234838
5,250,79.0,9.537029478878052,"248,252",9.583194532659679,9.611361099161527,-0.0461650537816265,-0.07433162028347517
5,260,58.0,9.975955911486516,"258,262",9.953347101938991,9.916946011384919,0.02260880954752409,0.05900990010159646
5,270,63.0,10.369165056816833,"268,272",10.390964197567824,10.35633081047334,-0.021799140750990986,0.01283424634349295
5,280,20.0,10.70690882118982,"278,282",10.792475160600649,10.813065724337278,-0.08556633941082836,-0.10615690314745763
5,290,11.0,11.163088383336676,"288,292",11.118666433540284,11.06957591824436,0.04442194979639247,0.09351246509231714
5,300,16.0,11.547151340753114,"298,302",11.562640110884079,11.52243080360789,-0.015488770130964724,0.024720537145224597
5,310,5.0,11.902981609399996,"308,312",11.987116707411253,12.023050285790017,-0.08413509801125763,-0.12006867639002117
5,320,3.0,12.371289231983434,"318,322",12.291595356122865,12.234260438301314,0.07969387586056875,0.13702879368211995
5,330,2.0,12.688649243508747,328,12.565750126194358,12.565750126194358,0.12289911731438963,0.12289911731438963
5,340,1.0,13.127983778130522,"338,342",13.16659036366675,13.20427177588308,-0.0386065855362272,-0.07628799775255857
5,350,1.0,13.555390549938846,348,13.42760858517779,13.42760858517779,0.12778196476105563,0.12778196476105563
7,14,3360670.0,0.3475416938617739,"12,16",0.3537999963110222,0.3286399910118651,-0.006258302449248299,0.01890170284990883
7,28,1991203.0,0.8136601288903885,"26,30",0.8826915831599063,0.9084375877062426,-0.06903145426951773,-0.09477745881585409
7,42,1986354.0,1.4260635625593472,"40,44",1.4019400115652942,1.3791037335556402,0.024123550994052945,0.04695982900370699
7,56,542039.0,1.955385406836165,"54,58",1.9061914248455833,1.8882431142334648,0.04919398199058156,0.0671422926027001
7,70,396665.0,2.474477352339109,"68,72",2.527079098364951,2.5447770038923245,-0.05260174602584211,-0.07029965155321571
7,84,309979.0,3.04017888148537,"82,86",3.053253164610597,3.042399328575285,-0.013074283125226849,-0.0022204470899147566
7,98,80529.0,3.604223481355905,"96,100",3.5799991065395966,3.5618594676590867,0.024224374816308458,0.042364013696818414
7,112,43767.0,4.115973147756436,"110,114",4.159245871973219,4.165557654093328,-0.04327272421678341,-0.04958450633689182
7,126,44903.0,4.690443924769228,"124,128",4.678517873241437,4.660175256664662,0.011926051527790804,0.030268668104565855
